"","date","GICS_SECTOR_NAME","div_yld"
"1",2017-09-18,"Energy",4.46306770610001
"2",2017-09-18,"Materials",2.97807502170153
"3",2017-09-18,"Industrials",2.55831252229712
"4",2017-09-18,"Consumer Discretionary",2.24210124985627
"5",2017-09-18,"Consumer Staples",2.86687278976079
"6",2017-09-18,"Health Care",2.47749750437576
"7",2017-09-18,"Financials",3.29677591126923
"8",2017-09-18,"Information Technology",1.91844028924941
"9",2017-09-18,"Communication Services",1.64219132839387
"10",2017-09-18,"Utilities",4.51184607354201
"11",2017-09-18,"Real Estate",4.11383110283318
"12",2017-09-18,NA,2.37823787309475
"13",2017-12-11,"Energy",4.26284746960391
"14",2017-12-11,"Materials",2.97480712409413
"15",2017-12-11,"Industrials",2.449233491194
"16",2017-12-11,"Consumer Discretionary",2.14387075661619
"17",2017-12-11,"Consumer Staples",2.7960117248726
"18",2017-12-11,"Health Care",2.48969872617785
"19",2017-12-11,"Financials",3.08547185023854
"20",2017-12-11,"Information Technology",1.8242041753387
"21",2017-12-11,"Communication Services",1.51609557995039
"22",2017-12-11,"Utilities",4.27513337150846
"23",2017-12-11,"Real Estate",3.98199166589372
"24",2017-12-11,NA,1.99747217410567
"25",2018-03-05,"Energy",4.47995453057576
"26",2018-03-05,"Materials",3.26456929745439
"27",2018-03-05,"Industrials",2.56552905049527
"28",2018-03-05,"Consumer Discretionary",2.19210367539092
"29",2018-03-05,"Consumer Staples",3.16150538453784
"30",2018-03-05,"Health Care",2.69633249777904
"31",2018-03-05,"Financials",3.46138832374173
"32",2018-03-05,"Information Technology",1.75398225810143
"33",2018-03-05,"Communication Services",1.56526479856175
"34",2018-03-05,"Utilities",4.93780437052914
"35",2018-03-05,"Real Estate",4.44620210679957
"36",2018-03-05,NA,3.05437409171495
"37",2018-03-12,"Energy",4.4827782792093
"38",2018-03-12,"Materials",3.18845138323051
"39",2018-03-12,"Industrials",2.54550992108606
"40",2018-03-12,"Consumer Discretionary",2.10169720214349
"41",2018-03-12,"Consumer Staples",3.09924998942168
"42",2018-03-12,"Health Care",2.63780249590513
"43",2018-03-12,"Financials",3.39946334962558
"44",2018-03-12,"Information Technology",1.71777042712622
"45",2018-03-12,"Communication Services",1.47591788881243
"46",2018-03-12,"Utilities",4.82064705494102
"47",2018-03-12,"Real Estate",4.34663095003465
"48",2018-03-20,"Energy",4.58179553799395
"49",2018-03-20,"Materials",3.28808419007994
"50",2018-03-20,"Industrials",2.59667508699487
