"","date","pf","portfolio","RDRM","asset","type","sector","name","ticker","shares","price","currency","value_eur","weight","duurzaam"
"1",2025-02-28,"fd","DZ50RM50","RD","Aandelen","ETF","None","Amundi MSCI Europe ESG Leaders ETF","LEAD_GY",1291,35.61,"EUR",45972.51,0.0285343670618765,1
"2",2025-02-28,"fd","DZ50RM50","RD","Aandelen","ETF","None","Amundi MSCI World ESG Leaders ETF","MWOP_GY",3585,93.93,"EUR",336739.05,0.209008289013751,1
"3",2025-02-28,"fd","DZ50RM50","RD","Aandelen","ETF","None","NT World Small Cap ESG Low Carbon","NTSCLBE_NA",73,1265.67,"EUR",92393.91,0.0573473526292556,1
"4",2025-02-28,"fd","DZ50RM50","RD","Aandelen","ETF","None","SPDR SP500 ESG Leaders ETF","SPPY_GY",5982,39.89,"EUR",238621.98,0.148108666817447,1
"5",2025-02-28,"fd","DZ50RM50","RD","Aandelen","ETF","Health Care","Xtrackers World Health Care","XDWH_GY",1537,52.26,"EUR",80323.62,0.0498555257656952,NA
"6",2025-02-28,"fd","DZ50RM50","RM","Obligaties","Staatsobligatie","Staatsobligaties","0,5% Nederland 22-32","NL0.5_732",267025,87.03,"EUR",233225.8575,0.144759383949797,1
"7",2025-02-28,"fd","DZ50RM50","RM","Obligaties","Staatsobligatie","Staatsobligaties","2,5% Nederland 12-33","NL2.5_133",383613,100.24,"EUR",385689.6712,0.239391119823461,1
"8",2025-02-28,"fd","DZ50RM50","RM","Obligaties","Staatsobligatie","Staatsobligaties","3,25% Nederland 23-44","NL3.25_144",96994,106.33,"EUR",103513.7202,0.0642492325985067,1
"9",2025-02-28,"fd","DZ50RM50","RM","Cash","CASH","Cash","Cash","CASH",94647.41,1,"EUR",94647.41,0.0587460623402098,NA
"10",2025-02-28,"ff","RD50RM50","RD","Aandelen","ETF","None","iShares Core MSCI World","IWDA_NA",5205,105.45,"EUR",548867.25,0.20855498788249,NA
